species;spec;ring_ID;date;sex;fuel ;infection;RMR;origMassSpec-RMR;MMR30;origMassSpec-MMR;hemo;parasitemia
SaxRub;4;43A5066;25.04.17;2;1;1;0.5871;0.0534;3.84;0.3429;107;0.01908
SaxRub;4;43A5122;25.04.17;1;4;1;0.6521;0.0506;5.72;0.44;186;0.00299
SaxRub;4;43A5123;25.04.17;1;1;1;0.7553;0.0521;3.88;0.2713;172;0.17172
SaxRub;4;43A5124;25.04.17;1;2;1;0.6776;0.0471;4.22;0.2951;194;0.00145
SaxRub;4;43A5125;25.04.17;1;5;1;0.7992;0.0519;4.35;0.2652;188;0.00145
SaxRub;4;43A5157;25.04.17;1;5;1;;;4.84;0.2951;168;1.66361
SaxRub;4;43A5160;25.04.17;1;2;1;;;5.54;0.3621;202;0.32086
SaxRub;4;43A5307;27.04.17;2;7;1;0.7553;0.0521;5.11;0.3116;169;0.38507
SaxRub;4;43A5314;27.04.17;2;1;1;0.6729;0.0561;4.38;0.3532;135;0.0015
SaxRub;4;43A5329;27.04.17;1;2;1;0.5832;0.0482;3.64;0.2779;172;0.00291
SaxRub;4;43A5330;27.04.17;1;3;1;0.5481;0.0461;4.49;0.3592;140;0.32787
SaxRub;4;43A5333;27.04.17;1;3;1;0.5084;0.0424;3.91;0.2896;144;0.10234
SaxRub;4;43A5368;28.04.17;2;6;1;0.8895;0.0622;5.64;0.3639;193;0.01433
SaxRub;4;43A5373;28.04.17;2;5;1;0.7767;0.0536;5.2;0.3333;192;0.0014
SaxRub;4;43A5375;28.04.17;1;5;1;;;5.92;0.3545;159;0.00167
SaxRub;4;43A5469;29.04.17;2;2;1;0.5387;0.0464;4.47;0.3336;190;0.00136
SaxRub;4;43A5613;30.04.17;1;2;1;0.6345;0.0516;5.01;0.404;161;0.5452
SaxRub;4;43A5619;30.04.17;1;1;1;0.6972;0.0549;3.48;0.2829;176;0.00145
SaxRub;4;43A5628;30.04.17;2;6;1;0.7401;0.0521;5.38;0.3449;205;0.00875
SaxRub;4;43A5648;30.04.17;2;0;1;0.6198;0.0496;3.53;0.2917;180;0.00136
SaxRub;4;43A5710;01.05.17;1;1;1;0.5938;0.0468;4.23;0.3205;194;0.03419
SaxRub;4;43A5742;02.05.17;2;0;1;0.5691;0.0486;2.77;0.2308;125;0.17869
SaxRub;4;43A5749;02.05.17;1;3;1;0.6754;0.0508;4.06;0.3007;185;0.00573
SaxRub;4;43A5782;02.05.17;1;2;1;0.6564;0.0525;3.5;0.2632;170;0.81644
PhoPho;3;28A9638;21.03.16;1;5;0;0.5571;0.0493;4.39;0.372;156;
PhoPho;3;28A9650;22.03.16;1;5;0;0.574;0.0407;5.1;0.3517;193;
PhoPho;3;28A9655;22.03.16;1;4;0;0.5396;0.0432;4.56;0.3648;171;
PhoPho;3;28A9659;22.03.16;2;5;0;;;5.23;0.3353;168;
PhoPho;3;28A9718;25.03.16;1;2;0;;;5.39;0.4382;194;
PhoPho;3;28A9721;25.03.16;2;4;0;;;4.42;0.3714;174;
PhoPho;3;28A9729;26.03.16;1;5;0;0.6775;0.0443;4.95;0.3278;194;
PhoPho;3;28A9731;26.03.16;1;4;0;0.6304;0.0464;5.36;0.3697;189;
PhoPho;3;28A9881;27.03.16;1;1;0;;;4.62;0.3882;96;
PhoPho;3;28A9935;27.03.16;2;5;0;;;3.95;0.2801;172;
PhoPho;3;37A0119;28.03.16;1;5;0;0.7147;0.0483;4.71;0.2981;178;
PhoPho;3;37A0130;28.03.16;1;5;0;0.6609;0.0424;4.8;0.3221;199;
PhoPho;3;37A0138;28.03.16;1;5;0;0.7637;0.0534;3.86;0.2777;178;
PhoPho;3;37A0140;28.03.16;1;5;0;;;5;0.3289;195;
PhoPho;3;37A0300;29.03.16;1;5;0;;;6.24;0.4489;186;
PhoPho;3;37A0307;29.03.16;2;5;0;0.6508;0.0482;5.26;0.3704;174;
PhoPho;3;37A0309;29.03.16;2;7;0;0.6703;0.043;4.35;0.2669;177;
PhoPho;3;37A0311;29.03.16;1;5;0;;;6.33;0.4427;161;
PhoPho;3;37A0315;29.03.16;1;5;0;;;4.86;0.36;180;
PhoPho;3;37A0317;29.03.16;1;5;0;;;4.62;0.2924;195;
PhoPho;3;37A0396;30.03.16;1;6;0;0.5854;0.0447;6.85;0.4536;167;
PhoPho;3;37A0407;30.03.16;1;4;0;0.6915;0.0532;5.01;0.3945;176;
PhoPho;3;37A0480;01.04.16;2;6;0;;;4.39;0.2552;195;
SaxRub;4;37A1167;21.04.16;1;2;0;0.5879;0.047;3.95;0.3038;193;
PhoPho;3;37A1170;21.04.16;2;5;0;0.9187;0.0625;5.11;0.3097;172;
SaxRub;4;37A1174;21.04.16;1;4;0;0.7497;0.0507;4.83;0.3178;184;
PhoPho;3;37A1200;22.04.16;2;2;0;;;2.32;0.209;47;
SaxRub;4;37A1212;21.04.16;1;0;0;;;1.09;0.0872;122;
SaxRub;4;37A1306;22.04.16;1;4;0;0.7192;0.0476;6.6;0.4074;175;
SaxRub;4;37A1326;22.04.16;2;5;0;0.8016;0.0569;5.25;0.3323;157;
SaxRub;4;37A1327;22.04.16;2;5;0;0.8093;0.0554;3.94;0.2402;164;
SaxRub;4;37A1360;22.04.16;1;2;0;;;4.1;0.3306;148;
SaxRub;4;37A1545;23.04.16;1;5;0;0.8796;0.0536;5.35;0.3147;163;
SaxRub;4;37A1568;23.04.16;2;1;0;;;3.05;0.244;160;
SaxRub;4;37A1621;23.04.16;2;5;0;0.8416;0.0529;6.06;0.3629;170;
PhoPho;3;37A1712;27.04.16;1;6;0;0.7622;0.0505;5.16;0.3035;156;
PhoPho;3;37A1721;27.04.16;2;5;0;0.7999;0.0523;5.58;0.3444;173;
SaxRub;4;37A1725;27.04.16;2;6;0;0.847;0.0614;6.6;0.4099;170;
PhoPho;3;37A1729;27.04.16;2;5;0;0.855;0.0638;4.91;0.3664;168;
SaxRub;4;37A1768;28.04.16;1;6;0;;;3.81;0.2366;183;
SaxRub;4;37A1771;28.04.16;1;1;0;0.754;0.0516;4.77;0.3267;157;
PhoPho;3;37A1787;28.04.16;1;3;0;0.656;0.0497;4.31;0.3265;167;
SaxRub;4;37A1960;29.04.16;2;0;0;0.4502;0.0433;2.53;0.2219;109;
SaxRub;4;37A1962;29.04.16;2;0;0;0.6787;0.0539;3.98;0.3159;145;
PhoPho;3;37A1997;29.04.16;2;5;0;;;4.49;0.3075;177;
SaxRub;4;37A2053;29.04.16;1;2;0;0.5008;0.0468;2.79;0.2325;121;
SaxRub;4;37A2219;30.04.16;1;5;0;0.845;0.0567;;;179;
PhoPho;3;43A3862;12.04.17;2;5;0;0.7439;0.0551;6.1;0.4519;;
PhoPho;3;43A3925;12.04.17;2;3;0;0.5611;0.0492;4.25;0.3373;;
PhoPho;3;43A3943;12.04.17;2;2;0;;;3.58;0.3034;;
PhoPho;3;43A3987;12.04.17;1;3;0;0.5508;0.0479;3.08;0.2333;203;
SaxRub;4;43A4001;12.04.17;1;3;0;0.7305;0.0545;4.44;0.3041;165;
PhoPho;3;43A4028;13.04.17;1;5;0;0.7214;0.0559;4.22;0.3517;198;
SaxRub;4;43A4077;13.04.17;1;2;0;0.7238;0.0506;5.1;0.3723;160;
PhoPho;3;43A4079;13.04.17;1;2;0;0.557;0.0464;3.32;0.2744;164;
PhoPho;3;43A4080;13.04.17;1;1;0;;;3.56;0.3043;157;
SaxRub;4;43A4132;13.04.17;1;0;0;0.6578;0.0522;5;0.3788;132;
PhoPho;3;43A4140;13.04.17;1;5;0;0.769;0.0615;4.7;0.3456;215;
PhoPho;3;43A4238;14.04.17;1;5;0;0.6276;0.0448;4.67;0.3072;186;
PhoPho;3;43A4264;14.04.17;1;3;0;0.642;0.0535;4.4;0.3636;195;
PhoPho;3;43A4282;15.04.17;1;2;0;0.6137;0.0472;4.21;0.3479;179;
PhoPho;3;43A4297;15.04.17;1;2;0;0.7929;0.0579;7.87;;171;
PhoPho;3;43A4298;15.04.17;1;5;0;0.724;0.0464;4.29;0.2681;193;
PhoPho;3;43A4438;16.04.17;2;4;0;0.6851;0.0519;4.2;0.3307;180;
PhoPho;3;43A4453;16.04.17;1;4;0;0.7854;0.0538;5.52;0.4029;173;
PhoPho;3;43A4464;16.04.17;1;0;0;;;3.48;0.308;186;
PhoPho;3;43A4483;16.04.17;1;2;0;;;4.34;0.3841;164;
PhoPho;3;43A4485;16.04.17;1;5;0;;;3.33;0.2643;186;
PhoPho;3;43A4488;16.04.17;2;3;0;;;4.38;0.362;188;
PhoPho;3;43A4489;16.04.17;2;5;0;0.6731;0.0543;4.73;0.3504;204;
PhoPho;3;43A4494;16.04.17;2;1;0;;;3.99;0.35;176;
PhoPho;3;43A4501;16.04.17;2;2;0;;;4.35;0.3625;188;
SaxRub;4;43A4606;17.04.17;1;1;0;0.5765;0.048;3.17;0.2577;142;
PhoPho;3;43A4626;17.04.17;2;2;0;0.5545;0.0491;4.81;0.4111;156;
PhoPho;3;43A4634;17.04.17;1;1;0;0.7823;0.0602;5;0.3906;148;
PhoPho;3;43A4640;17.04.17;1;2;0;0.5352;0.0496;3.97;0.3452;158;
PhoPho;3;43A4655;17.04.17;2;4;0;0.5928;0.0502;3.91;0.2962;178;
PhoPho;3;43A4657;17.04.17;1;5;0;0.5737;0.0428;4.72;0.3576;175;
PhoPho;3;43A4693;18.04.17;2;2;0;0.5994;0.0495;4.01;0.3234;184;
PhoPho;3;43A4695;18.04.17;1;0;0;0.6166;0.0505;3.83;0.3192;150;
SaxRub;4;43A4696;18.04.17;1;0;0;0.6464;0.0497;3.19;0.2512;170;
PhoPho;3;43A4697;18.04.17;1;1;0;0.5387;0.0449;2.98;0.2547;197;
